row	col	slot
0	0	argue
0	1	back_away
0	2	block_broken
0	3	block_end
0	4	block_hold
0	5	block_start
1	0	carry
1	1	carry_bag
1	2	collapse
1	3	draw_gun
1	4	draw_holster
1	5	draw_reach
2	0	drink
2	1	fall_stairs
2	2	flinch
2	3	get_up
2	4	glance
2	5	greet
3	0	guard
3	1	guard_enter
3	2	guard_exit
3	3	hands_up
3	4	head_no
3	5	idle
4	0	idle_2
4	1	idle_bored
4	2	idle_old
4	3	jog
4	4	knockdown
4	5	laugh
5	0	lean
5	1	lean_wall
5	2	lie_still
5	3	lift
5	4	look_around
5	5	phone_box
6	0	pockets
6	1	point
6	2	rummage
6	3	run
6	4	shake_hands
6	5	shove
7	0	shoved
7	1	sit
7	2	sit_drink
7	3	sit_talk
7	4	stagger
7	5	stairs_down
8	0	stairs_up
8	1	strike
8	2	strike_alt
8	3	take_hit
8	4	talk
8	5	turn_left
9	0	turn_right
9	1	walk
9	2	walk_f
9	3	walk_old
9	4	walk_start_f
9	5	walk_stop
10	0	walk_stop_f
10	1	wave
10	2	work_counter
10	3	yell
