spawn-cost --transcripts: /root/.claude/projects/-home-user-wc26-picks/b9cd91ae-0774-5237-89a0-83f5e9373b08
  170 of 454 spawn(s) carry a session-limit notice, and 148 of those 170 produced NO turn at all: a spawn slot spent on nothing. Example notice: You've hit your session limit · resets 11:20pm (UTC) (+9 more of 10)
  454 transcript(s) walked
    agent-a87279b275c4b865e  tier=opus         turns=138  alines=226
    agent-a54e5099a9ccd474f  tier=opus         turns=123  alines=238
    agent-a0016a41c6171ab89  tier=opus         turns=107  alines=179
    agent-a502e7fd6ea79599e  tier=opus         turns=107  alines=170
    agent-a1299a5816c454c49  tier=opus         turns=103  alines=182
    agent-a24956a520d8c6974  tier=opus         turns=100  alines=191
    agent-a9efc2de3009a2335  tier=opus         turns=98   alines=173
    agent-a3d7f7affb71b67a8  tier=opus         turns=97   alines=168
    agent-a9cdf48d1d447082b  tier=opus         turns=95   alines=177
    agent-ad34fd8480ae48b93  tier=opus         turns=94   alines=191
    agent-a0d1d796dfe03baea  tier=opus         turns=91   alines=168
    agent-aeda8709f34be9d6c  tier=opus         turns=91   alines=169
    agent-a5c7a9d024a0b77a9  tier=opus         turns=89   alines=199
    agent-a19fda95fe5960158  tier=opus         turns=86   alines=149
    agent-a04b11e9e7c019710  tier=opus         turns=85   alines=162
    agent-a674b4a37e6b28680  tier=opus         turns=82   alines=149
    agent-a100bb4bdc1f9aac2  tier=opus         turns=79   alines=166
    agent-a6b9dbea106fb51d0  tier=opus         turns=78   alines=131
    agent-add90271ce42efdc0  tier=opus         turns=78   alines=144
    agent-a8a06814aefdb8841  tier=opus         turns=74   alines=179
    agent-ac039213e02f24ad6  tier=opus         turns=71   alines=123
    agent-a23f1a0f536d53d26  tier=opus         turns=70   alines=134
    agent-ab004e320814afcb1  tier=opus         turns=70   alines=136
    agent-abff9a126018ac5eb  tier=opus         turns=70   alines=133
    agent-a40ff44212260f47b  tier=opus         turns=68   alines=138
    agent-abda8ef9751888c16  tier=opus         turns=68   alines=181
    agent-adfe97a2dbace8615  tier=opus         turns=68   alines=141
    agent-a2dd7f9ca2f2d7657  tier=opus         turns=67   alines=157
    agent-a291dd2da945a1166  tier=opus         turns=66   alines=172
    agent-a4b2e89450830d962  tier=opus         turns=66   alines=134
    agent-a63f2810500b1163f  tier=opus         turns=66   alines=130
    agent-ab21d6a0c1fc639a3  tier=opus         turns=66   alines=115
    agent-a030c380d237dfb10  tier=opus         turns=65   alines=123
    agent-a3a983f5263bc782c  tier=opus         turns=65   alines=124
    agent-a6e1f5b65fda8604e  tier=opus         turns=65   alines=129
    agent-aac728b4f8b3c64a3  tier=opus         turns=65   alines=118
    agent-aff2d89ab67c853e3  tier=opus         turns=65   alines=106
    agent-ae5f6e0a4a636f208  tier=opus         turns=63   alines=123
    agent-a6f3b48cffb8c60ef  tier=opus         turns=62   alines=120
    agent-a0b1c7258024e1a62  tier=opus         turns=61   alines=123
    agent-aa40b5147d5c597cb  tier=opus         turns=61   alines=160
    agent-ac3b83e80867327dc  tier=opus         turns=61   alines=130
    agent-a0b2d143f7d00cff4  tier=opus         turns=60   alines=124
    agent-a029706d2832717df  tier=opus         turns=59   alines=115
    agent-a2074eedd128f51da  tier=opus         turns=59   alines=104
    agent-a6b08e3be8b08e83b  tier=opus         turns=59   alines=115
    agent-a429b6a7ae3cc1f8f  tier=opus         turns=58   alines=109
    agent-afe208f4ec9475522  tier=opus         turns=58   alines=104
    agent-a0f127ce659122feb  tier=opus         turns=56   alines=105
    agent-a2afe119bb264d833  tier=opus         turns=56   alines=111
    agent-a0690bf27db36dfa4  tier=opus         turns=54   alines=103
    agent-a4e3abfb033a9cf78  tier=opus         turns=54   alines=143
    agent-a596bb30b1c267c40  tier=opus         turns=54   alines=103
    agent-a9ed193f89178c62b  tier=fable        turns=54   alines=188
    agent-a08c155e84db4e98f  tier=opus         turns=53   alines=110
    agent-a6ddb42ac6a2488c9  tier=opus         turns=53   alines=108
    agent-ac88ba475dffea294  tier=opus         turns=53   alines=129
    agent-abbf4c8084db32b1c  tier=fable        turns=52   alines=108
    agent-a455f262b72bdd919  tier=opus         turns=51   alines=125
    agent-ad8aa02476495daa0  tier=fable        turns=51   alines=110
    agent-a82fe7defb42c3fe3  tier=opus         turns=49   alines=112
    agent-a292f2b4595f67bee  tier=opus         turns=47   alines=102
    agent-a39968db8fe8bc494  tier=opus         turns=47   alines=95
    agent-aa7d527d8e8bb4659  tier=fable        turns=47   alines=93
    agent-a849a8a17ee9ca0e0  tier=opus         turns=46   alines=94
    agent-a8c7fd2aac76c84f5  tier=opus         turns=46   alines=104
    agent-a037b64ac86e243a9  tier=opus         turns=45   alines=91
    agent-a2257a6e8640be0e9  tier=opus         turns=45   alines=97
    agent-a385df9af63b3bf04  tier=opus         turns=45   alines=93
    agent-a492941059c362fc9  tier=opus         turns=45   alines=104
    agent-a7c99892d3a46463f  tier=opus         turns=45   alines=80
    agent-a81eeca4eaa62ae1e  tier=opus         turns=45   alines=81
    agent-a942f5cd1eed9a56c  tier=opus         turns=45   alines=92
    agent-a981385bd5c829f9e  tier=opus         turns=45   alines=94
    agent-aa6ad0bb66deee6a6  tier=fable        turns=45   alines=107
    agent-ac24bb46c41565959  tier=opus         turns=45   alines=95
    agent-aca9276ac9c4ffb55  tier=fable        turns=45   alines=123
    agent-ad337c27c0bffeaef  tier=opus         turns=45   alines=91
    agent-ae056d830338ed9e1  tier=opus         turns=45   alines=78
    agent-a4c7a652c5dd67c60  tier=opus         turns=44   alines=97
    agent-ad3dc2b6acda1caab  tier=opus         turns=44   alines=92
    agent-a5eb31313851640fd  tier=opus         turns=43   alines=98
    agent-ab1bf056ae26b874a  tier=opus         turns=43   alines=140
    agent-a58115413cfbbaae2  tier=opus         turns=42   alines=94
    agent-a4571db96e4fb4efb  tier=opus         turns=41   alines=109
    agent-a86ec108de3bc48bd  tier=opus         turns=41   alines=148
    agent-aacae320ae2d7870a  tier=opus         turns=41   alines=97
    agent-aed283bdcefec438f  tier=opus         turns=41   alines=120
    agent-ac43c495c5ebe636a  tier=fable        turns=39   alines=77
    agent-acf1ba2070f288869  tier=opus         turns=39   alines=101
    agent-aec8ec4fa9e110a53  tier=opus         turns=39   alines=90
    agent-a4809d03782479383  tier=opus         turns=38   alines=101
    agent-ad4ff6e739b74bff0  tier=opus         turns=38   alines=103
    agent-a0d56eda0287a6335  tier=opus         turns=37   alines=94
    agent-a1165fc5a8595f950  tier=opus         turns=37   alines=81
    agent-a48ca84a110cc2a3c  tier=opus         turns=37   alines=77
    agent-ae8a2b1f763ccdaae  tier=opus         turns=37   alines=86
    agent-acb2e6abdfc168154  tier=opus         turns=36   alines=92
    agent-af73f9537ad32ffac  tier=opus         turns=36   alines=111
    agent-a06b7a4a9d8326c4a  tier=opus         turns=34   alines=94
    agent-a1b68bb619bcdb6c2  tier=opus         turns=34   alines=75
    agent-aba1547e78b01eb6c  tier=opus         turns=34   alines=75
    agent-a2f9d91dd0cacfc6e  tier=opus         turns=33   alines=101
    agent-a34686a81ea8f31b3  tier=opus         turns=33   alines=86
    agent-a9cbe12394f61b658  tier=opus         turns=33   alines=76
    agent-af8968b2548fab329  tier=opus         turns=32   alines=95
    agent-abc6fc074b8f22d80  tier=opus         turns=31   alines=72
    agent-afe70e835188395e8  tier=opus         turns=31   alines=69
    agent-a2f6b22b4c035dfcd  tier=opus         turns=30   alines=105
    agent-ae951ebff0e1864fe  tier=opus         turns=30   alines=88
    agent-a4bdfae5ed795c7c4  tier=opus         turns=29   alines=78
    agent-aa6033053b26fba15  tier=fable        turns=29   alines=67
    agent-a5bec137a9b615a47  tier=fable        turns=28   alines=77
    agent-a630f859b4c36b635  tier=opus         turns=28   alines=76
    agent-a39b1550518a1d39e  tier=opus         turns=27   alines=57
    agent-a712251883f8d66ca  tier=opus         turns=27   alines=68
    agent-aa94a121006f2d303  tier=opus         turns=27   alines=70
    agent-a6b6816e391e77840  tier=opus         turns=26   alines=57
    agent-a6c149272d7fa6a5c  tier=fable        turns=26   alines=68
    agent-a32c0f5d3de197ac3  tier=fable        turns=25   alines=58
    agent-a65047581968c49e4  tier=opus         turns=25   alines=84
    agent-a84eba5d005f6684b  tier=opus         turns=25   alines=51
    agent-af506829aa3713128  tier=opus         turns=25   alines=69
    agent-adb419c56d048e6f1  tier=opus         turns=24   alines=62
    agent-ae304551d488e95e7  tier=fable        turns=24   alines=75
    agent-a2c7811dd50ba9a9b  tier=opus         turns=23   alines=66
